Sequence_268, Cluster_0, Distance_0.3391, Novelty_0.2934, Confidence_0.7468, Known-like
Sequence_269, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_270, Cluster_0, Distance_0.4109, Novelty_0.3759, Confidence_0.7087, Known-like
Sequence_271, Cluster_0, Distance_0.6496, Novelty_0.6500, Confidence_0.6062, Similar
Sequence_272, Cluster_0, Distance_0.1910, Novelty_0.1233, Confidence_0.8396, Known-like
Sequence_273, Cluster_0, Distance_0.2127, Novelty_0.1482, Confidence_0.8246, Known-like
Sequence_274, Cluster_0, Distance_0.5657, Novelty_0.5536, Confidence_0.6387, Similar
Sequence_275, Cluster_0, Distance_0.4633, Novelty_0.4360, Confidence_0.6834, Known-like
Sequence_276, Cluster_0, Distance_0.4144, Novelty_0.3798, Confidence_0.7070, Known-like
Sequence_277, Cluster_0, Distance_0.4752, Novelty_0.4497, Confidence_0.6779, Similar
Sequence_278, Cluster_0, Distance_0.5213, Novelty_0.5026, Confidence_0.6573, Similar
Sequence_279, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_280, Cluster_0, Distance_0.3189, Novelty_0.2701, Confidence_0.7582, Known-like
Sequence_281, Cluster_0, Distance_0.3694, Novelty_0.3282, Confidence_0.7303, Known-like
Sequence_282, Cluster_0, Distance_0.2347, Novelty_0.1735, Confidence_0.8099, Known-like
Sequence_283, Cluster_0, Distance_0.5852, Novelty_0.5760, Confidence_0.6308, Similar
Sequence_284, Cluster_0, Distance_0.4146, Novelty_0.3801, Confidence_0.7069, Known-like
Sequence_285, Cluster_0, Distance_0.6120, Novelty_0.6068, Confidence_0.6203, Similar
Sequence_286, Cluster_0, Distance_0.4055, Novelty_0.3696, Confidence_0.7115, Known-like
Sequence_287, Cluster_0, Distance_0.2702, Novelty_0.2143, Confidence_0.7873, Known-like
Sequence_288, Cluster_0, Distance_0.2906, Novelty_0.2376, Confidence_0.7749, Known-like
Sequence_289, Cluster_0, Distance_0.3892, Novelty_0.3510, Confidence_0.7198, Known-like
Sequence_290, Cluster_0, Distance_0.4878, Novelty_0.4641, Confidence_0.6721, Similar
Sequence_291, Cluster_0, Distance_0.1639, Novelty_0.0922, Confidence_0.8592, Known-like
